Test Set #1
15 to  9: 3
17 to  8: 2

Test Set #97
 1 to 12: 2
 7 to 16: 3
10 to 20: 2
 9 to 18: 2
11 to  1: 1
19 to 13: 4
 4 to  7: 2
 1 to  4: 1
14 to 16: 2
 4 to 13: 1
 5 to 15: 3
19 to  7: 3
16 to 13: 3
17 to  7: 2
10 to  4: 2
 9 to  8: 3
 3 to  8: 2
 3 to  5: 2
 8 to 17: 1
 5 to 12: 2
 4 to  1: 1
16 to 10: 1
11 to 12: 2
 1 to 10: 3
 1 to 17: 1
 2 to  3: 2
 2 to  1: 2
 8 to 17: 1
16 to  2: 2
 5 to 18: 2

Test Set #98
11 to  1: 1
 7 to 15: 3
 4 to  3: 2
19 to 18: 3
12 to  8: 2
15 to 13: 4
15 to 14: 1
12 to  3: 2
 3 to 14: 2
15 to  2: 3
20 to  6: 1
20 to  9: 1
 1 to 20: 3
13 to  1: 2
16 to 17: 4
 7 to 16: 5
 7 to  4: 3
 5 to  4: 2
 9 to 17: 1
 8 to 11: 2
 4 to 20: 2
18 to  9: 2
 4 to 20: 2
10 to  1: 2
19 to  3: 3
 6 to  8: 2
17 to  3: 3
 7 to 10: 4
15 to  5: 2
11 to 15: 2

Test Set #99
15 to  8: 3
 9 to 19: 2
17 to  2: 2
 7 to  1: 1
 7 to  2: 2
11 to 12: 3
13 to 15: 4
 9 to 20: 3
12 to 19: 2
12 to 17: 2
16 to 12: 1
13 to  2: 3
 4 to 11: 2
20 to  5: 2
11 to  9: 3
 1 to  6: 2
12 to 18: 2
 6 to 12: 2
 1 to 10: 1
13 to 19: 2
 7 to 10: 2
18 to 20: 1
18 to 16: 2
 4 to  3: 1
 3 to  1: 2
18 to  7: 3
 7 to 13: 1
13 to  9: 2
11 to 17: 3
12 to 19: 2

Test Set #100
11 to  3: 3
 9 to  8: 3
 7 to 13: 3
11 to 17: 3
17 to  1: 2
19 to 13: 3
20 to 10: 4
 9 to 11: 2
14 to  7: 4
17 to 10: 3
19 to 11: 1
 4 to 10: 3
 5 to 10: 3
10 to  9: 3
15 to  5: 3
17 to 20: 1
14 to 11: 5
15 to  5: 3
 7 to  1: 2
13 to  9: 3
10 to  1: 2
 1 to 12: 1
14 to  9: 3
 2 to  8: 4
11 to  8: 3
17 to 20: 1
 7 to 18: 2
14 to 19: 4
15 to  2: 1
 1 to 18: 1

